Customer_ID,Branch,Region,Product,Customer_Segment,Loan_Officer,Disbursement_Date,Tenure_Months,Interest_Rate,Disbursed_Amount,Outstanding_Balance,DPD,IFRS9_Stage
CUST00001,Kitengela,Nairobi,Asset Finance,Retail,A. Otieno,2023-04-17,60,0.1558,663647.41,630333.44,0,Stage 1 - Performing
CUST00002,Nakuru,Rift Valley,SME Loan,Retail,A. Otieno,2024-08-28,48,0.1753,331377.29,54412.38,0,Stage 1 - Performing
CUST00003,Westlands,Nairobi,Personal Loan,SME,F. Wanjiru,2024-07-12,48,0.1815,984865.53,169186.64,60,Stage 2 - Underperforming
CUST00004,Thika,Central,Personal Loan,SME,L. Achieng,2023-04-06,84,0.1428,705928.63,628705.61,0,Stage 1 - Performing
CUST00005,Kisumu,Nyanza,Asset Finance,Retail,L. Achieng,2025-05-14,48,0.1372,629619.99,358600.11,0,Stage 1 - Performing
CUST00006,Kisumu,Nyanza,Motor Loan,SME,A. Otieno,2023-07-27,48,0.1727,530196.08,229598.0,5,Stage 1 - Performing
CUST00007,Kitengela,Nairobi,Motor Loan,SME,L. Achieng,2025-01-11,24,0.1551,281282.82,49947.51,1,Stage 1 - Performing
CUST00008,Kitengela,Nairobi,Personal Loan,Corporate,S. Kimani,2023-04-13,48,0.13,124426.94,73651.43,0,Stage 1 - Performing
CUST00009,Nakuru,Rift Valley,SME Loan,SME,P. Njoroge,2023-06-21,12,0.1362,419721.44,250425.97,1,Stage 1 - Performing
CUST00010,Westlands,Nairobi,SME Loan,Retail,A. Otieno,2024-09-30,84,0.1479,490428.01,362919.86,0,Stage 1 - Performing
CUST00011,Thika,Central,Mortgage,SME,M. Hassan,2023-03-09,60,0.1411,179137.77,62001.18,0,Stage 1 - Performing
CUST00012,Kitengela,Nairobi,Personal Loan,Retail,P. Njoroge,2024-07-24,60,0.1851,968205.04,501359.23,45,Stage 2 - Underperforming
CUST00013,Nairobi CBD,Nairobi,Motor Loan,Retail,F. Wanjiru,2023-08-14,24,0.1478,113837.65,96396.86,45,Stage 2 - Underperforming
CUST00014,Westlands,Nairobi,Personal Loan,Retail,P. Njoroge,2024-05-28,12,0.1251,879433.37,474426.83,0,Stage 1 - Performing
CUST00015,Thika,Central,Asset Finance,Retail,L. Achieng,2024-10-23,84,0.1616,481132.48,192151.94,0,Stage 1 - Performing
CUST00016,Mombasa,Coast,Overdraft,Corporate,F. Wanjiru,2024-02-01,60,0.1261,424566.7,327790.63,5,Stage 1 - Performing
CUST00017,Mombasa,Coast,Motor Loan,Retail,L. Achieng,2024-05-04,36,0.1873,333478.82,34399.37,1,Stage 1 - Performing
CUST00018,Nairobi CBD,Nairobi,Asset Finance,Retail,P. Njoroge,2023-02-18,12,0.1423,640700.55,371657.87,0,Stage 1 - Performing
CUST00019,Kitengela,Nairobi,Motor Loan,Retail,S. Kimani,2024-09-01,84,0.1491,349721.09,326141.91,0,Stage 1 - Performing
CUST00020,Thika,Central,Personal Loan,Retail,L. Achieng,2024-12-31,36,0.1782,500110.02,295018.77,1,Stage 1 - Performing
CUST00021,Nakuru,Rift Valley,Personal Loan,Retail,M. Hassan,2024-12-29,12,0.1289,136342.02,116475.78,45,Stage 2 - Underperforming
CUST00022,Nairobi CBD,Nairobi,Overdraft,Corporate,L. Achieng,2024-05-21,48,0.1423,454165.56,191597.74,0,Stage 1 - Performing
CUST00023,Kitengela,Nairobi,Personal Loan,SME,P. Njoroge,2023-11-04,60,0.1303,364230.25,300901.76,0,Stage 1 - Performing
CUST00024,Kitengela,Nairobi,Motor Loan,Retail,A. Otieno,2024-01-13,36,0.1857,376995.19,153983.21,20,Stage 1 - Performing
CUST00025,Nakuru,Rift Valley,Personal Loan,SME,A. Otieno,2024-04-17,60,0.1341,349146.05,236442.36,32,Stage 2 - Underperforming
CUST00026,Nairobi CBD,Nairobi,SME Loan,SME,A. Otieno,2024-04-27,12,0.1571,1071531.5,128698.07,120,Stage 3 - Non-Performing
CUST00027,Kisumu,Nyanza,Asset Finance,Retail,M. Hassan,2024-11-09,48,0.1249,412400.91,201455.53,0,Stage 1 - Performing
CUST00028,Kitengela,Nairobi,Motor Loan,Retail,A. Otieno,2024-03-19,36,0.138,311662.28,186145.3,0,Stage 1 - Performing
CUST00029,Mombasa,Coast,SME Loan,Retail,J. Mwangi,2023-07-20,48,0.1248,352588.29,40306.29,45,Stage 2 - Underperforming
CUST00030,Thika,Central,Personal Loan,Retail,P. Njoroge,2023-01-28,84,0.1603,350208.8,296673.48,0,Stage 1 - Performing
CUST00031,Kisumu,Nyanza,Motor Loan,SME,J. Mwangi,2024-09-23,84,0.1825,231600.03,163984.44,0,Stage 1 - Performing
CUST00032,Nakuru,Rift Valley,Personal Loan,Corporate,S. Kimani,2023-06-22,48,0.1611,132461.0,91085.09,10,Stage 1 - Performing
CUST00033,Nakuru,Rift Valley,Personal Loan,SME,A. Otieno,2023-09-16,60,0.1387,152821.25,16979.13,120,Stage 3 - Non-Performing
CUST00034,Kitengela,Nairobi,Mortgage,SME,P. Njoroge,2024-02-19,84,0.1593,431399.52,142254.9,150,Stage 3 - Non-Performing
CUST00035,Eldoret,Rift Valley,Asset Finance,Retail,L. Achieng,2025-01-09,48,0.1445,594416.78,506035.21,0,Stage 1 - Performing
CUST00036,Nairobi CBD,Nairobi,SME Loan,Retail,S. Kimani,2023-05-22,24,0.1217,674494.26,512913.75,0,Stage 1 - Performing
CUST00037,Nairobi CBD,Nairobi,Motor Loan,Corporate,A. Otieno,2024-01-20,60,0.1547,561255.06,61905.82,5,Stage 1 - Performing
CUST00038,Kitengela,Nairobi,SME Loan,SME,J. Mwangi,2025-02-10,12,0.1219,537552.82,482118.26,0,Stage 1 - Performing
CUST00039,Eldoret,Rift Valley,SME Loan,Retail,J. Mwangi,2023-08-19,60,0.1359,257634.08,48374.57,32,Stage 2 - Underperforming
CUST00040,Nairobi CBD,Nairobi,Motor Loan,SME,M. Hassan,2024-06-30,24,0.1312,448474.95,327995.02,15,Stage 1 - Performing
CUST00041,Kisumu,Nyanza,Mortgage,Corporate,S. Kimani,2023-10-16,36,0.1775,588619.49,127889.91,0,Stage 1 - Performing
CUST00042,Eldoret,Rift Valley,Motor Loan,Retail,F. Wanjiru,2023-02-01,24,0.1327,65799.93,61832.92,0,Stage 1 - Performing
CUST00043,Nairobi CBD,Nairobi,Motor Loan,SME,A. Otieno,2023-05-18,24,0.1381,199967.88,121478.71,90,Stage 2 - Underperforming
CUST00044,Mombasa,Coast,Overdraft,Corporate,M. Hassan,2023-07-06,48,0.1449,271636.47,150445.19,0,Stage 1 - Performing
CUST00045,Nairobi CBD,Nairobi,Asset Finance,Retail,S. Kimani,2025-04-21,24,0.1466,193494.69,60122.15,0,Stage 1 - Performing
CUST00046,Westlands,Nairobi,SME Loan,Retail,F. Wanjiru,2024-05-23,36,0.143,109451.78,52518.18,150,Stage 3 - Non-Performing
CUST00047,Thika,Central,SME Loan,Corporate,J. Mwangi,2024-01-18,36,0.1367,162324.59,75740.1,0,Stage 1 - Performing
CUST00048,Thika,Central,Asset Finance,Corporate,J. Mwangi,2025-05-30,24,0.1319,255482.52,40582.56,0,Stage 1 - Performing
CUST00049,Nakuru,Rift Valley,Personal Loan,Retail,L. Achieng,2024-03-01,36,0.1673,202778.75,104767.64,0,Stage 1 - Performing
CUST00050,Thika,Central,SME Loan,SME,A. Otieno,2024-09-13,24,0.1279,236475.33,48035.15,20,Stage 1 - Performing
CUST00051,Westlands,Nairobi,Personal Loan,SME,P. Njoroge,2023-06-11,60,0.1636,103868.99,27147.73,60,Stage 2 - Underperforming
CUST00052,Kitengela,Nairobi,Asset Finance,SME,L. Achieng,2024-08-20,12,0.1503,558557.04,280682.84,0,Stage 1 - Performing
CUST00053,Kisumu,Nyanza,Motor Loan,SME,F. Wanjiru,2024-12-24,12,0.165,241987.3,91251.84,1,Stage 1 - Performing
CUST00054,Kisumu,Nyanza,Overdraft,SME,F. Wanjiru,2024-08-17,24,0.1277,753500.14,227390.82,10,Stage 1 - Performing
CUST00055,Nairobi CBD,Nairobi,Personal Loan,SME,P. Njoroge,2024-02-12,24,0.1749,182313.86,99095.01,1,Stage 1 - Performing
CUST00056,Kisumu,Nyanza,Motor Loan,SME,L. Achieng,2023-09-24,60,0.1277,596659.86,296430.88,10,Stage 1 - Performing
CUST00057,Nairobi CBD,Nairobi,Asset Finance,Retail,P. Njoroge,2023-08-07,84,0.1712,198567.11,54841.09,0,Stage 1 - Performing
CUST00058,Westlands,Nairobi,Motor Loan,Retail,A. Otieno,2024-10-03,24,0.177,181582.79,88920.78,0,Stage 1 - Performing
CUST00059,Nairobi CBD,Nairobi,SME Loan,Retail,J. Mwangi,2024-04-08,12,0.16,195704.05,43650.12,15,Stage 1 - Performing
CUST00060,Nairobi CBD,Nairobi,Personal Loan,Corporate,L. Achieng,2023-12-13,12,0.1371,175135.5,22486.46,0,Stage 1 - Performing
CUST00061,Thika,Central,SME Loan,Retail,S. Kimani,2023-04-23,24,0.1423,699557.1,419056.54,0,Stage 1 - Performing
CUST00062,Kitengela,Nairobi,Asset Finance,SME,A. Otieno,2024-01-26,48,0.1211,101160.57,15560.66,0,Stage 1 - Performing
CUST00063,Eldoret,Rift Valley,Personal Loan,Corporate,F. Wanjiru,2024-07-14,24,0.1569,207921.16,51331.9,0,Stage 1 - Performing
CUST00064,Nakuru,Rift Valley,Motor Loan,Retail,J. Mwangi,2024-12-06,36,0.1518,302873.16,216690.33,0,Stage 1 - Performing
CUST00065,Nakuru,Rift Valley,Motor Loan,Retail,M. Hassan,2023-04-08,48,0.1218,195392.18,66576.76,0,Stage 1 - Performing
